top 10 cumulative:
Fri Feb 10 20:10:45 2012    asymm_interface_0.profile
     5228    0.119    0.000    0.212    0.000 __init__.py:81(<lambda>)
10529/7918    0.133    0.000    0.300    0.000 {len}
        1    0.000    0.000    0.000    0.000 {math.exp}
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 {math.sqrt}
     5233    0.098    0.000    0.098    0.000 {method 'acquire' of 'thread.lock' objects}
     5317    0.025    0.000    0.025    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        2    0.007    0.004    0.007    0.004 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    23519    0.183    0.000    0.183    0.000 {method 'get' of 'dict' objects}
     2611    0.016    0.000    0.016    0.000 {method 'has_key' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     2612    0.042    0.000    0.042    0.000 {method 'lstrip' of 'str' objects}
     5232    0.049    0.000    0.049    0.000 {method 'release' of 'thread.lock' objects}
    15685    0.216    0.000    0.216    0.000 {method 'rfind' of 'str' objects}
     5227    1.245    0.000    1.245    0.000 {method 'sendall' of '_socket.socket' objects}
     2610    3.369    0.001    3.369    0.001 {method 'sendto' of '_socket.socket' objects}
        4    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        2    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
